##name	Shakespeare Words
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/26, 23:14
##author	Andy Boyle
##email	andyboyle@videotron.ca
##description	Shakespeare into modern english
##browsingEnabled	
##bgl_creationTime	2003/01/19, 16:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
heart	the heart of any man
Hearts	good fellows
hearts of controversy	in rivalry. [Julius Caesar]
Heat	of 'to heat,' heated, urgency, desire
heat-oppressed	capable of being handled. [Macbeth]
heath	a waste tract of land. [Macbeth]
heave the gorge	become nauseated. [Othello]
heavily	sadly
heavy summons	a feeling of heavy drowsiness. [Macbeth]
HEBENON	henbane
Hecate	goddess of hell
hedgepig	hedgehog (like Sonic, except real hedgehogs are not blue)
HEFT	furnished with a handle: hence, metaphorically, finished off, delicately formed
heir-apparent	next in line to the throne. [King Henry IV, Part 1]
HELM	to steer, manage
Helpless	useless, not helping
Hempen	coarse fellows
hen	pecked
HENCE	henceforward
HENCHMAN	a page or attendant
HENT	to seize, take
Herald	one who announces, a messenger
hermit	this is a person who leads a reclusive life, originally for religious reasons being paid to pray; (in context) Lady Macbeth will pray for Duncan
HEST	command HIGH: used in composition with adjectives to heighten or emphasize their signification, as, high- fantastical
hests	commands. [The Tempest]
hie	hurry. [Julius Caesar]
hie thee	hasten
HIGH	used in composition with adjectives to heighten or emphasize their signification, as, high- fantastical
high-lone	quite alone. [Romeo and Juliet]
high-sighted	ambitious. [Julius Caesar]
HIGHT	called
HILD	held
HILDING	a paltry fellow
hinds	deer. [Julius Caesar]
HINT	suggestion
HIREN	a prostitute. with a pun on the word 'iron.'
hit	matched
hit together	agree. [King Lear]
hob, nob	hit or miss. [Twelfth Night]
Hobnob	to have or have not, to mingle or associate casually
HOISE	to hoist, heave up on high
HOIST	hoisted
hold carelessly	think little of someone. [Romeo and Juliet]
hold!	Stop!
holds	withholds
holidam	originally the holy relics upon which oaths were sworn; by the late 16th century this word was used as a weak asseveration or mild oath. [Romeo and Juliet]
holp	helped
Homage	psys homage to, worships, bows down to
HOME	to the utmost
homely	plain
Honest	chaste
HONESTY	chastity
HONEY	STALKS the red clover
HOODMAN	BLIND: the game now called blindman's-buff
hoodwink	blind
HORN	MAD: probably, 'harn-mad,' that is, brain-mad
horned man's	cuckold's. [Othello]
HOROLOGE	a clock
HOT	HOUSE a brothel
Hot-house	a brothel
housekeeper	watchdog
housewives	hussies. [Othello]
how say'st thou	what do you think!
howlet	small owl
HOX	to hamstring
HUGGER	MUGGER: secrecy
Hugger-mugger	secretly
HULL	to drift on the sea like a wrecked ship
Hum!	a groan
Human	humane, courteous
humane	human
HUMOROUS	fitful, or, perhaps, hurried
humour	feeling (of fear); to persuade by flattery; or a mood, temperament, or mist. [Julius Caesar]
HUNT	COUNTER: to follow the scent the wrong way
HUNTS	UP a holla used in hunting when the game was on foot
hunts-up	originally the sound that roused huntsmen, this expression means any morning greeting. [Romeo and Juliet]
HURLY	noise, confusion
hurlyburly	tumult, uproar
HURTLE	to clash
HURTLING	noise, confusion
husbandry	economy
HUSWIFE	a jilt
Hyrcan	from Hyrcania, formerly a region south of the Caspian Sea
I'FECKS	int. in faith, a euphemism.
ICE	BROOK
ides	the 15th day of the month. [Julius Caesar]
Idle	trivial
IGNOMY	ignominy.
ill	composed compounded of evil qualities
ill-divining	foreboding evil. [Romeo and Juliet]
illness	evil
Illyria	a mythical land somewhere in the Mediterranean. [Twelfth Night] impawn'd pledged. [King Henry IV, Part 1]
IMAGE	representation
IMBARE	to bare, lay open
Imbossed	swollen
Imbrue	stain with blood
IMMEDIACY	close connexion.
Immediately	purposely
IMMOMENT	unimportant
IMP	to graft. to splice a falcon's broken feathers.
IMPAWN	to stake, compromise
IMPEACH	impeachment.
IMPEACHMENT	cause of censure, hindrance
IMPERCEIVERANT	duff of perception
IMPETICOS	to pocket.
import	concern. [Othello]
IMPORTANCE	importunity
IMPORTANT	importunate
IMPORTING	significant
IMPOSE	imposition, meaning command or task imposed upon any one
Imposition	command
IMPOSITIONS	command
IMPRESE	a device with a motto.
IMPRESS	to compel to serve
in fine	in short
in scarlet, to be	blush. [Romeo and Juliet]
INCAPABLE	unconscious
incarnadine	make blood-red
INCARNARDINE	to dye red.
INCENSED	incited, egged on
INCH	MEAL
INCH-MEAL	by inch-meal, by portions of inches.
INCLINING	compliant
INCLIP	to embrace.
INCLUDE	conclude
Incontinent	immediate
incontinently	immediately
INCONY	fine, delicate
Incorporate	made one body
INCORRECT	ill-regulated
Increase	procreation, offspring ( from sonnets), abundance, fruition
IND	India.
indeed	GOOD-DEN
INDENT	to compound or bargain
INDEX	a preface.
INDIFFERENT	ordinary
INDIGEST	disordered.
Indign	unworthy
Indirect	illegal
INDITE	to invite; to convict
INDUCTION	introduction, beginning
INDURANCE	delay.
Infest	to vex, trouble
INFINITE	infinite power.
informs	takes visible form
INGRAFT	to engraff, engrafted.
ingrafted	deep-rooted. [Julius Caesar]
INHABITABLE	uninhabitable
INHERIT	to possess
Inhibited	forbidden
INHOOPED	penned up in hoops.
Injointed	joined
Injurious	insulting
INKHORN	MATE: a contemptuous term for an ecclesiastic, or man of learning
INKLE	a kind of narrow fillet or tape
INLAND	civilized, well-educated.
INLY	inward.
INQUISITION	enquiry
INSANE	that which causes insanity.
insane root	hemlock, which can make you insane, or kill you like Socrates
INSCONCE	to arm, fortify
INSTANCE	example Information Reason, proof
instant	present moment
insuppressive	unsuppressable, indomitable. [Julius Caesar]
INTEND	to pretend.
INTENDING	regarding
INTENDMENT	intention.
INTENTIVELY	attentively.
interdiction	exclusion
INTERESSED	allied
INTERMISSION	pause, delay
intermit	hold off. [Julius Caesar]
intrenchant	can't be cut or penetrated
INTRENCHMENT	not capable of being cut.
INTRINSE	intricate.
INTRINSICATE	intricate.
inurn'd	buried. [Hamlet] J
invention	falsehood
Inverness	Macbeth's castle in Dunsinane, in northern Scotland. [audio] [ link]
INWARD	an intimate friend.
INWARDNESS	intimacy.
IRREGULOUS	lawless, licentious.
is pure innocence	i.e., has the same childlike sincerity. [The Merchant of Venice]
ITERATION	reiteration.
JACK	A-LENT a puppet thrown at in Lent
JACK-A-LENT	a puppet thrown at in Lent.
JACK GUARDANT	a jack in office.
Jacks	fellows (contemptuous). [The Merchant of Venice]
JADE	to whip, to treat with contempt.
JAR	the ticking of a clock
JAUNCE	to prance
jaundice	a symptom of violent passion. [The Merchant of Venice]
jealous	in the sense of suspicious. [Julius Caesar]
JESS	a strap of leather attached to the talons of a hawk, by which it is held on the fist
JEST	to tilt in a tournament.
JET	to strut.
jocund	joyful
jointress	partner. [Hamlet]
JOURNAL	daily
Jove	King of the Roman gods. [Romeo and Juliet]
JOVIAL	appertaining to Jove
Jowl	to hit, to dash
jowls	bumps. [Hamlet] K
JUDICIOUS	critical
juggling	deceitful
jump	risk
just	exactly
JUSTICER	a judge, magistrate
JUT	to encroach.
JUTTY	a projection.
jutty, frieze, buttress, coign of vantage	places where birds nest
JUVENAL	youth, young man
KAM	crooked
KECKSY	hemlock
Keech	a lump of fat or tallow
KEEL	to skin
KEEP	to restrain
KEISAR	Caesar, Emperor
Ken	perception, knowledge, sight
KERN	the rude foot soldiers of the Irish
kerns	light-armed Irish troops
kerns and gallowglasses	Irish soldiers, gallowglasses carry axes [audio]
KIBE	a chilblain
KICKSHAW	a made dish
KICKSY WICKSY	a wife, used in disdain KILN-HOLE: the ash-hole under a kiln
KILN	HOLE
Kin	nature
KIND	nature
KINDLE	to bring forth young; used only of beasts
KINDLESS	unnatural
KINDLY	natural
kingdom's pearl	nobles
KIRTLE	a gown
kisses Emilia	the usual Renaissance form of social courtesy. [Othello]
kites	scavenging birds
Knack	a pretty trifle, knick-knacks
KNAP	to snap, crack
knapped	knocked. [King Lear]; nibbled. [The Merchant of Venice]
Knave	a boy, A serving-man, a rascal
knell	funeral bell
knits up	straightens out. [Macbeth]
knolled	rung
KNOT	a figure in garden beds
knotted and combined locks	i.e., lying together in a mass. [Hamlet] L
KNOW	to acknowledge
knowings	knowledge
L'ENVOY	the farewell or moral at the end of a tale or poem
Laboursome	elaborate, involved
LABRAS	lips
LACED	MUTTON a courtesan
Laced mutton	a highter class floozy, a courtesay
lack	requirment
ladybird	a term of endearment, similar to "lamb." [Romeo and Juliet]
LAG	late, behindhand
LAKIN	ladykin, little lady, an endearing term applied to the Virgin Mary in the oath, 'By our lakin.'
LAND	DAMN : perhaps to extirpate; Hanmer thinks it means to kill by stopping the urine
lapp'd	wrapped
LAPSED	taken, apprehended
LARGE	licentious, free
LARGESS	a present
LASS	LORN: deserted by a mistress
latch	catch the sound of
Latch'd	moistened, anointed
LATED	belated
LATTEN	made of brass
lattice	work across a woman's stomacher
LAUND	lawn
lave	wash
LAVOLTA	a dance
LAY	wager
lay-to	use. [The Tempest]
lazar-like	like leprosy. [Hamlet]
LEAGUE	besieging army
lease of nature	term of natural life
LEASING	lying
LEATHER	COATS: a kind of apple
leave	leave off
lechery	excessive sexual activity, lewdness
LEECH	a physician
LEER	countenance, complexion
lees	the dregs left after the best part of wine is gone, and is compared to what is left with the loss of the best part of life
Leese	loosen, release
LEET	a manor court
LEGE	to allege
LEGERITY	lightness
LEIGER	an ambassador resident abroad
LEMAN	a lover or mistress
Length	delay
LENTEN	meagre That which may be eaten in Lent
LET	to hinder to binder; hindrance
LETHE	death
LEVEL	to aim; that which is aimed at
Leviathon	whale
LEWD	ignorant, foolish
LEWDLY	wickedly
LEWDSTER	a lewd person
LIBBARD	a leopard
Liberal	licentious, dirty minded
LIBERTY	libertinism
LICENCE	licentiousness
lief	soon. [Hamlet]
LIFTER	a thief LIGHT O' LOVE a tune so called
lighted	descended
LIGHTLY	easily, generally
LIKE	to please; to liken, compare; likely
LIKELIHOOD	promise, appearance LIKING: condition
LIKING	condition
lily	liver'd cowardly
LIMBECK	an alembick, a still
LIMBO	or Limbo patrum, the place where good men under the Old Testament were believed to be imprisoned till released by Christ after his crucifixion
lime	birdlime (a sticky substance used to catch birds by putting it on branches)
limited	appointed
LIMN	to draw
LINE	to cover on the inside To strengthen by inner works
LINSTOCK	a staff with a match at the end of it used by gunners in firing cannon
Lion-Fell	lion's skin
list	place of combat, the lists
LITHER	lazy
LITTLE	miniature
LIVELIHOOD	appearance of life
liver	the Elizabethans considered the liver to be the seat of the emotions. [The Merchant of Venice]
liver, brain, and heart	the liver vied with the heart as the seat of the bodily passions in the Elizabethan physiology; the brain was to control the exercise of both the affections and the passions. [Twelfth Night]
Livery	a law phrase, signifying the act of delivering a freehold into the possession of the heir or purchaser, uniform worn by servants in a nobleman's house.
LIVING	lively, convincing
livings	possessions. [The Merchant of Venice]
LOACH	a fish so called
loath	reluctant. [Twelfth Night]
Lob	a lout, buffoon, clown
LOCKRAM	a sort of coarse linen
LODE	STAR
Lode-Star	the leading star, polar star
lodged	thrown down
LOFFE	to laugh
LOGGATS	the game called nine-pins
loggerheads	numbskulls. [King Henry IV, Part 1]
long-ingraffed	long-standing. [King Lear]
LONGLY	longingly
LOOF	to lull, bring a vessel up to the wind
look up clear	act normal, without troubles
loon	brute
loose	immoral
Lord's annointed temple	this refers to the king's body, as the king was though to be God's representative
Lose	forget
LOT	a prize in a lottery
LOTTERY	that which falls to a man by lot
lown	rascal. [Othello]
LOWT	a clown
LOZEL	a spendthrift
LUBBER	a leopard
LUCE	n. the pike or jack, a fresh-water fish
LUMPISH	duff, dejected
LUNES	fits of lunacy
LURCH	to defeat, to win; to shift, to play tricks
LURE	a thing stuffed to resemble a bird with which the falconer allures a hawk
Luscious	delicious, sweet
LUSH	juicy, luxuriant
LUSTIG	lusty, cheerful
LUXURIOUS	lascivious
LUXURY	lust
LYM	a limer or slow hound
MADE	having his fortune made
Maggot-pie	magpie
maggotpies and choughs and rooks	magpies and choughs and rooks are birds that can be taught to talk
MAGNIFICO	the chief magistrate at Venice
magnificoes	magnates, great men. [The Merchant of Venice]
MAGOT	PIE a magpie, a pie which feeds on magots
Maiden-Pilgrimage	passage through life unwedded
maidenhead	virginity. [Twelfth Night]
MAIL	covered as with a coat of mail
MAIN	COURSE
MAKE	to do up, bar; To do
Make Mouths Upon	make face at, mock at
make shift	be able to, manage. [The Merchant of Venice]
makes dainty	comes shyly. [Romeo and Juliet]
malapert	impertinent. [Twelfth Night]
MALKIN	a familiar name for Mary; hence a servant wench
MALLECHO	mischief
MAMMERING	hesitating
MAMMETS	a woman's breasts A doll
MAMMOCK	to break, tear
MAN	to tame a hawk
MANAGE	management
MANDRAGORA	or Mandrake a plant of soporiferous quality, supposed to resemble a man
MANKIND	having a masculine nature
Manured	cultivated
Mar	to spoil
MARCHES	frontiers, borders
MARCHPANE	a kind of sweet biscuit
MARGENT	margin
mark	listen
Mark Antony	Roman orator, politican and soldier around 80-30 BC. His love affair with Cleopatra split the empire, and he lost the war to Octavian (Augustus Caesar). [link]
Marry	an oath ("By the Virgin Mary")
MARRY TRAP	an oath
MARTLEMAS	the Feast of St. Martin, which occurs on the 11th of Nov. when the fine weather generally ends; hence applied to an old man
martlet	a bird from the swallow family, a martin
masterless	abandoned. [Romeo and Juliet]
MATCH	an appointment
MATE	to confound, dismay
mated	bewildered
Material	full of matter
maugre	despite (Fr. malgre). [Twelfth Night] [King Lear]
maw	mouth
maws	stomachs
Mazed	perplexed
Mazzard	skull, head
MEACOCK	tame, cowardly
MEALED	mingled
MEAN	instrument used to promote an end; the tenor part in a harmony; opportunity, power
Means	moans
MEASURE	reach A stately dance
measuring	wand
MEAZEL	a leper, spoken in contempt of a mean person
Mechanicals	working men
MEDAL	a portrait in a locket
MEDICINE	a physician
MEED	reward, hire Merit
meet	proper. [Julius Caesar]
meetest	fittest. [The Merchant of Venice]
MEHERCLE	by Hercules
MEINY	retinue
MELL	to mix, to meddle
memento mori	reminder of death (usually a skull). [King Henry IV, Part 1]
MEMORISE	to cause to be remembered
memorize	make as memorable as
MEPHISTOPHILUS	the name of a familiar spirit
MERCATANTE	a foreign trader
mere	asolutely
MERELY	simply, absolutely
meshes	net. [The Merchant of Venice]
MESS	a company of four
METAPHYSICAL	supernatural
METE	YARD
Metheglin	an alcoholic beverage made of fermented honey water
mettle	spirit
mettlesome	troublesome
MEW UP	to confine
mewed up to her heaviness	encased in her grief. [Romeo and Juliet]
MICHER	a truant MICKLE: much
Miching	sneaking
miching mallecho	slinking mischief. [Hamlet]
MICKLE	much
might not but	must. [Othello]
MILL	SIXPENCE: a milled sixpence
Mimic	actor
MINCE	to do any thing affectedly
MINCING	affected
Minding	intending
Minikin	small, pretty
Minimus	tiny creature
minion	darling, favorite. [Macbeth]
minutely	every minute
Mirable	admirable
MISCREATE	illegitimate
MISDOUBT	to suspect
Misdread	fear of evil
MISER	avarice MISPRISE to despise; To mistake
MISERY	avarice
Misgraffed	grafted on a wrong tree
MISPRISE	to despise To mistake
Misprised	mistaken
Misprision	mistake
MISSIVE	messenger
missives	messengers
MISTEMPERED	angry
MISTHINK	to think ill of
Mistress	the jack in bowling, also the modern meanings of th word.
Mistress of effects	determiner of results
MOBLED	muffled
mockery	imitation
MODERN	commonplace
MODULE	a model, image
MOE	and more; Of frequent occurrence
MOIETY	a portion
moiety competent	sufficient portion. [Hamlet]
Mome	blockhead, dolt
MOMENTANY	momentary
Month1s mind	an intense desire, yearning
MONTHS	MIND a monthly commemoration of the dead, but used ludicrously to mean a great mind or strong desire
moo	more. [Othello]
MOOD	anger
MOON	CALF
mooncalf	monstrosity. [The Tempest]
MOONISH	inconstant
Moorish	pike
MOP	nod
Moralize	to explain, to interpret
MORISCO	a Moor
Morning's Love	cephalus
MORRIS	PIKE: Moorish-pike
MORT	DU-VINAIGRE: a ridiculous oath
MORTAL	fatal, deadly Murderous
mortal arbitrament	settle a dispute by duelling to the death of one contestant. [Twelfth Night]
mortal thoughts	thoughts of death or murder
mortified	dead
MOSE	a doubtful word, applied to some disease in a horse
MOTION	solicitation Emotion; a puppet
motion of the liver	the liver was regarded as the seat of the passions. [Twelfth Night]
MOTIVE	one who moves; That which moves
MOTLEY	or the many-coloured coat of a fool, or a fool
mounch'd	munched, chewed with closed lips
mountebanks	charlatans who sell quack medicine. [Othello]
MOUSE	HUNT: a weasel
mouse-hunt	one who runs after women. [Romeo and Juliet]
Moused	torn in pieces, as a cat worries a mouse
Mouth	sound
MOW	to make grimaces
MOY	a coin, probably a moidore
MUCH	int. significant of contempt; used ironically
much ado	much trouble, fuss. [King Lear]
much unfurnished	not ready. [Romeo and Juliet]
Mugs	common name for a country bumpkin. [King Henry IV, Part 1]
Mulled	flat, insipid, flavorless
murdering minister	evil agents
Murdering piece	a canon loaded with chain shot
MURE	a wall
Murrion	infected with murrain, a disease among cattle
Muse	to wonder
mushrumps	mushrooms. [The Tempest]
music from the spheres	according to Pythagoras, the universe consisted of eight hollow spheres, inside of which the earth and all the other planets are fixed. The spheres produced a note, each of which combined to produce perfect harmony that is inaudible to the human ear. The earth is at the center of this system. [Twelfth Night]
MUST	a scramble
must be	was destined to be
mute	slave whose tongue has been removed for security reasons, or silent person. Both mutes and eunuchs were associated with oriental courts. [Twelfth Night] N
MUTINE	to mutiny; a mutineer
Mystery	professional skill, professional knowledge
NAPKIN	a handkerchief
napkins enow	enough handkerschiefs to wipe sweat caused by the heat of hell
NATURAL	an idiot
Naught	nothing, a worthless thing
naughty	insolent, wicked. A stronger term for the Elizabethans than for us. [Julius Caesar]
nave	navel, middle
NAYWARD	towards denial
NAYWORD	a catch-word, by-word
Neaf	fist
near'st	of life, inmost life, most vital parts
NEB	the beak
NEELD	a needle
Neeze	to sneeze
NEIF	hand
NEPHEW	a grandson
NETHER	STOCKS: stockings
new abroach	newly afoot (newly underway). [Romeo and Juliet]
NEXT	nearest
NICE	foolish
NICK	score or reckoning; to brand with folly
niggard	stingy person
Niggarding	being miserly, stingy
nigh	near
NIGHT	RULE
Night-rule	revelry, partying
night-tripping fairy	it was commonly believed that elves and fairies sometimes exchanged well-favored babies for nasty ones, who were often called changelings. [King Henry IV, Part 1]
NIGHTED	black as night
nightgown	dressing gown
nightly solemnity	NINE MEN'S MORRIS a place set apart for a Moorish dance by nine men
nimble-footed	madcap. [King Henry IV, Part 1]
nimble-pinioned doves	nimble-winged doves. Doves pulled Venus' chariot and were held sacred by her. [Romeo and Juliet]
NINNY	a fool, jester
NOBILITY	nobleness
NOBLE	a coin, worth 6s. 8d
NODDY	a dolt
noise	music
Nole	noddle, head
nonce	occasion. [Hamlet]
None	have nothing to do with
nonpareil	without equal
Nonsuits	dismisses
NOOK	SHOTTEN: indented with bays and creeks
Norway himself	the Norwegian king
Norweyan	Norwegian [link]
nose	painting drink makes the nose red
note	notoriety
nothing	not at all
nothing jealous	have no doubt. Frequently used by Elizabethans. [Julius Caesar]
Nott-pated	short haired
NOURISH	a nurse
NOVUM	a game at dice
NOWL	head
nuncle	an abbreviation of mine uncle; intimacies of address such as this were permitted to a "licensed fool." [King Lear] O
nunnery	convent or brothel
NUTHOOK	a hook for pulling down nuts, hence a thief
O	a circle
O proper stuff	A fine thing this! [Macbeth]
O'ER	RAUGHT: overreached overtasked
o'er ears	i.e., underwater. [The Tempest]
O'ERPARTED	having too important a part to act
OAR	to row as with oars
Oathable	capable of taking an oath
oblivious	causing forgetfulness
obscure bird	owl, the bird of darkness
Obsequious	fawning, eager to obey,behaving as becomes one who attends funeral obsequies
OBSEQUIOUSLY	funereally
OBSTACLE	ridiculously used for 'obstinate.'
occulted	hidden. [Hamlet]
OCCUPATION	persons occupied in business
OCCURENT	an incident
occurrences	CURST
OD'S	a euphemism for 'God's' in exclamations such as OD'S BODY, OD'S HEARTLINGS, OD'S PITTIKINS, and OD'S PLESSED WILL
Odd	unnoticed
odd-even	between night and day. [Othello]
Odsbodkin!	Holy Cow! (Literally, “God’s little body”)
OEILLIAD	an amorous glance
of	by
of general assault	common to all men. [Hamlet]
of wax	i.e., as handsome as if he had been modeled in wax, finer than men usually are. [Romeo and Juliet]
Offend	vex, displease, cause discomfort to
OFFERING	challenging
OFFICE	benefit, kindness use, function
offices	duty, employment
old	established law
On	of, fond on
on the hip	at my mercy. [Othello]
on's	of his
on't	of it
ONCE	some time
ONEYER	a banker; a doubtful word
Only	most important, chief, unique
OPE	open; to open OPEN: plain; public; to give tongue as a hound
OPEN	to give tongue as a hound
open'd	unfolded
OPERANT	active
OPINIONED	used ridiculously for pinioned
OPPOSITE	adversary
OPPOSITION	combat
OR	before
or ere	before
orb	poetic word for world. [Twelfth Night]
Orbs	rings of rich green grass thought to be caused by fairies
order	battle plan
ORDINANCE	rank, order
ordinary	a tavern. [Julius Caesar]
ORGULOUS	proud
Original	originators
ORT	leaving, refuse
OSTENT	show, appearance
OSTENTATION	show, appearance
other's	other man's
othergates	otherwise (than). [Twelfth Night]
OUNCE	a beast of prey of the tiger kind
OUPHE	a fairy
ourselves	one another
OUSEL	COCK: the blackbird
OUT	LOOK: to face down
out of haunt	away from others. [Hamlet]
out of warrant	unjustifiable. [Othello]
outface them	get the better of them. [The Merchant of Venice]
outrun	did outrun
OUTWARD	not in the secret of affairs; outside
over	worked
Overbear	overrule
overcome	overshadow
overname	name them over. [The Merchant of Venice] P
owe	own, possess
owed	owned
owing to	due to, because of
owl	an owl's screech was considered to portend death
PACK	a number of people confederated
Paddock	The second witch's familiar, a toad
pageant	a false show, a pretense
PAID	punished
Pajock	peacock (a contemptuous name)
PALABRAS	words, a cant term, from the Spanish
PALE	to enclose
pale Hecate	Hecate, goddess of the moon and the underworld, was queen of the witches and witchcraft. [Macbeth]
PALL	to wrap as with a pall
PALLED	impaired
PALMER	one who bears a palm-branch, in token of having made a pilgrimage to Palestine
PALMY	victorious
palter	trifle (deal dishonestly)
PARCELLED	belonging to individuals
Parcels	parts
PARD	the leopard
pard or cat o' mountain	leopard. [The Tempest]
PARITOR	an apparitor
PARLE	talk
PARLOUS	perilous keen, shrewd
PARTED	endowed, gifted
Particular	personal
Partisan	a pike
PARTIZAN	a pike
Parts	qualities
PASH	the face; to strike violently, to bruise, crush
PASS	to practise To surpass expectation
PASSANT	a term of heraldry, applied to animals represented on the shield as passing by at a trot
passed in probation	went over the evidence
PASSING	surpassingly, exceedingly
Passion	to have feelings, suffering, affliction
PASSIONATE	to suffer
PASSY	MEASURE: a kind of dance
PASTRY	the room where pastry was made
Pat	exactly, just as it should be
PATCH	a mean fellow
PATCHED	dressed in motley
PATCHERY	trickery
Patent	privilege of virginity
PATH	to walk
PATHETICAL	affected, hypocritical
PATIENT	to make patient, to compose
PATINE	the metal disc on which the bread is placed in the administration of the Eucharist
PATTERN	to give an example of Afford a pattern for
PAUCA VERBA	few words
PAUCAS	few, a cant word
paunch	stab. [The Tempest]
PAVIN	a dance
Pawn	to pledge
PAX	a small image of Christ
PAY	to despatch
peak	dwindle away
pearl	all that's good in the kingdom. [Macbeth]
PEAT	a term of endearment for a child
PEDASCULE	a pedant, schoolmaster
PEER	to peep out
Peevish	silly, childish, spiteful, quarrelsome
PEIZE	to balance, weigh down
PELTING	paltry
pennyworths	small quantities (of sleep); pronounced "pennorths." [Romeo and Juliet]
Pensioners	retainers
pent-house lid	the eyelid that resembles a sloped roof. [Macbeth]
penthouse lid	eyelid
PERDU	lost
PERDURABLE	durable
perdy	from the French par dieu, by God. [King Lear]
PERFECT	to inform perfectly
PERIAPTS	charms worn round the neck
Period	end, conclusion
periwig-pated	bewigged. [Hamlet]
PERJURE	a perjured person
perpetual wink	endless sleep; death. [The Tempest]
PERSEVER	to persevere
PERSPECTIVE	a telescope, or some sort of optical glass
Pert	lively
perturbation	disruption
pester'd	troubled
petard	bomb
PEW	FELLOW a comrade
PHEEZE	to comb, fleece, curry
Phibbus	phoebus
Phraseless	indescribable
physics	cures
PIA	MATER: the membrane covering the brain, the brain itself
PICK	to pitch, throw
PICKED	chosen, selected
PICKERS	(and stealers), the fingers, used ridiculously
PICKING	insignificant
PICKT	HATCH: a place noted for brothels. Merry Wives of Windsor
PIED	motley-coated, wearing the motley coat of a jester
PIELED	shaven
Pierced	touched
pignuts	peanuts. [The Tempest]
PILCHER	a scabbard
PILL	to pillage
PIN	a malady of the eye; The centre of a target
Pin-buttock	skinny butt
PINFOLD	a pound, a place to confine lost cattle
PIONED	digged
pitfall	snare
Pith	strength
PLACKET	a petticoat-front
PLAIN SONG	a simple air
PLAITED	intricate
PLANCHED	made of boards
PLANTATION	colonizing, planting a colony
Plausive	persuasive, pleasing
play the Roman fool	commit suicide the way way Roman officials to avoid being captured
PLEACHED	interwoven
Pliant	favorable
PLIGHT	pitched
plume up	gratify. [Othello]
Plurisy	an over abundance
POINT	DE-VICE: faultless
point-devise	to the point of perfection. [Twelfth Night]
POISE	balance Doubt
POLLED	bare
POMANDER	a perfumed ball
POMEWATER	a kind of apple
poor	feeble
poor pennyworth	only a small quantity. [The Merchant of Venice]
poorly	dejectedly, unworthily
POPINJAY	a parrot
Porpentine	porcupine
PORT	a gate
portable	endurable
PORTANCE	conduct, behavior
possess	fill
Possess'd	possessed of as much wealth
posset	a hot drink of milk, wine, and spices
possets	a drink made from hot curdled milk, ale, wine, etc., and taken usually on retiring. [Macbeth]
posters	speedy travelers
posy	inscription inside a ring, often in verse. [The Merchant of Venice]
POTCH	to push violently
POTENT	a potentate
Potential	powerful
Pottle	a tankard, a two shilling measure of drink
POUNCET	BOX a box for holding perfumes
pout'st upon	treat with contempt. [Romeo and Juliet]
POWER	forces, army
Practice	plot
practicing upon	plotting against. [Othello]
PRACTISANT	a confederate
PRACTISE	wicked stratagem
Practises	plots
praetor	magistrate. [Julius Caesar]
PRANK	to dress up
prate	chatter, gossip. [Macbeth]
Pray	please
PRE	ORDINANCE
PRECEPT	a justice's summons
PRECIOUSLY	in business of great importance
predominance	superior power
PREFACE	interj. much good may it do you
Prefer	present
Preferred	submitted for approval
PREGNANCY	fertility of invention
Pregnant	clever, quick witted
PRENOMINATE	to name beforehand, to prophesy
Preposterously	perversely
Presager|presagers	prophets, seers
PRESENCE	the presence-chamber High bearing
present	present time
presently	immidiately
PREST	ready
Pretence	project, scheme
PRETEND	to portend To intend
Prevailment	weight, sway
PREVENT	to anticipate
PRICK	the mark denoting the hour on a dial; to incite; To choose by pricking a hole with a pin opposite the name
PRICKET	a stag of two years
PRIDE	heat
PRIG	to steal
PRIME	rank, lecherous
PRIMER	more-important
PRIMERO	a game at cards
primy	in its prime, youthful. [Hamlet]
Prince of Cumberland	The title of the king's successor
Princess	paragon. perfection
PRINCIPALITY	that which holds the highest place
PRINCOX	a coxcomb
PRISER	a prize-fighter
prithee	I entreat you. [Twelfth Night]
probably, 'harn	mad,' that is, brain-mad
probal to	provable by
PROCURE	to bring
prodigies	unnatural events. [Julius Caesar]
Prodigious	unnatural
Produced	brought forward
Proface	much good may it do you!
PROFANE	outspoken
PROGRESS	a royal ceremonial journey
PROJECT	to shape or contrive
PROMPTURE	suggestion
PRONE	ready, willing
pronounce	say, announce
proof	proved armour, strength of manhood
proof of constancy	test of endurance. [Julius Caesar]
PROPAGATE	to advance, to forward
PROPAGATION	obtaining
proper	fine, excellent
Proper-false	handsome and treacherous
proper stuff	nonsense
PROPERTIED	endowed with the properties of
propertied me	made a tool of. [Twelfth Night]
PROPERTIES	scenes, dresses, &c. used in a theatre
PROPERTY	to take possession of
PROPOSE	conversation
PROROGUE	to defer
prorogued	adjourned (postponed). [Romeo and Juliet]
Prosperous	favorable
protest	show publicly, proclaim
PROVAND	provender
Prove	to test, try out, turn out to be, become
PROVISION	forecast
