##name	Tunneling
##sourceLang	Hebrew
##targetLang	English
##bgl_defaultCharset	cp1255
##bgl_sourceCharset	cp1255
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1255
##bgl_sourceEncoding	cp1255
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	Hebrew to English Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2006/08/24, 09:35
##bgl_middleUpdated	2012/05/23, 14:58
##bgl_lastUpdated	2012/05/23, 14:58
אבטחת איכות|א"א	Quality Assurance
קורה|קורות	Beam
קורה נמשכת	Continuos Beam
קורה עליונה|קורות עליונות	Upper Beam
קורה קונזולית|קורות זיז|קורות קונזול|קורת זיז|קורת קונזול	Cantilever Beam
קורה תחתונה|קורות תחתונות	Lower Beam
קורוזיה|איכול|שיתוך	Corrosion
קורת מסבך|קורות מסבך|קורות שבכה|קורת שבכה	Lattice Girder
קיבולת	Capacity
קידוח	Augering<BR>Boring<BR>Drilling
קידוח אופקי|קדוח אופקי	Horizontal Boring
קידוח חלוץ|קידוחי חלוץ	Pilot Hole
קידוח מקדים	Pre Drilling
קידוח עצמי|קדיחה עצמית|קידוח עצמאי|ראש קדיחה עצמאי|ראש קדיחה עצמי	Self Drilling
קידוח פיצוץ	Drill and Blast
קידוח פיר|קידוח פירים|קידוחי פירים	Shaft Drilling
קיים	Durability
קילו ניוטון	kiloNewton
קילוף בטון|קילוף הבטון|קילופי בטון|קילופי הבטון	Spalling
קימור	Arching
קיני חצץ|חלת דבש|קן חצץ	Honeycomb
קיר|קירות	Wall
קיר בני	Masonry Wall
קיר דיאפרגמה|קירות דיאפרגמה	Diaphragm Wall<BR>Sheet Wall
קיר התמוך על בסיס מסמרי קרקע|קיר מיסמור|קיר מסמרי קרקע|קירות מיסמור|קירות מסמרי קרקע	Soil Nail Wall
קיר כובד|קירות כובד	Gravity Wall
קיר כלונסאות עם עוגני קרקע|קיר כלונסאות מעוגן|קיר קלונסאות מעוגן	Tied Back Piles
קיר סלארי|קירות סלארי	Sluury Wall<BR>Sheet Piles
קיר תגובה	Reaction Wall<BR>Thrust Wall
קיר תמך|קירות תמך	Retaining Wall
קיר תמך קונזולי|קירות תמך קונזוליים	Cantilever Wall<BR>Counterfort Wall
קירטון חווארי|קירטונים חוואריים	Marly Chalk
קמרון	Crown
קמרון טבעי|קמרונות טבעיים	Natural Arch
קנה מידה|סקאלה|קנ"מ	Scale
קפיץ|קפיצים	Spring
קצב|קצבים|שיעור|שיעורים	Rate
קצב הסמכה|קצבי הסמכה	Stiffening Rate
קצב שאיבה|קצבי שאיבה	Pumping Rate
קצה	Edge
קרום אשפרה	Curing Membrane
קרטון	Chalk
קרטון גירי	Limy Chalk
קרטון ורובדי צור|קרטון עם רובדי צור	Chalk with Chert
קריטריון הכשל	Failure Criterion
קריטריון הכשל של מוהר קולומב|קריטריון מוהר קולומב	Mohr Coulomb Criterion
קריטריון הק-בראון|קריטריון הק בראון	Hoek-Brown Criterion
קריסה	Collapse<BR>Buckling
קריסה אלסטית	Elastic Buckling
קריסה בכפיפה	Flexural Buckling
קריסה צידית	Lateral Torsional Buckling
קרקע|קרקעות	Soil<BR>Ground
קרקע בלתי מופרת|קרקע לא מופרת	Undisturbed Soil
קרקע גרנולרית|קרקע גרגרית	Granular Soil
קרקע המתפוררת במהירות	Fast Raveling
קרקע זוחלת|קרקעות זוחלות	Squeezing Ground
קרקע זורמת|קרקעות זורמות	Flowing Ground
קרקע משוריינת	Reinforced Soil
קרקע מתפוררת	Raveling Ground
קרקע נשפכת|קרקעות נשפכות	Running Ground
קרקע קוהזיבית|קרקע קוהסיבית|קרקעות קוהזיביות|קרקעות קוהסיביות	Cohesive Soil
קרקע רכה|קרקעות רכות	Soft Ground
קרקע שזמן העמידה העצמי שלה קצר|קרקע בעלת זמן עמידה עצמי קצר|קרקע עם זמן עמידה עצמי קצר	Slow Raveling
קרקע תופחת	Swelling Ground
קשה|קשים	Rough<BR>Stiff
קשיח|קשיחים	Rigid<BR>Stiff
קשיחות|קשיחויות	Stiffness
קשיחות אורכית	Axial Stiffness
קשיחות צירית|קשיחות אורכית	Axial Stiffness
קשת	Arch
קשת תימוך מפלדה|קשת פלדה	Steel Arch
ראש מתפשק	Expansion Shell
רב שלבי	Multi Stage
רגיל|רגילים	Ordinary<BR>Average<BR>Normal<BR>Usual<BR>Simple<BR>Standard<BR>Common
רדאר חודר קרקע|ראדר חודר קרקע|רדאר חודר קרקעות	Ground Penetrating Radar
רדיוס ההתמד|רדיוס אינרציה|רדיוס האינרציה|רדיוס התמד	Radius of Gyration
רובד|רובדים|שכבה|שכבות	Strata
רווח לקצה|מרחק לקצה אלמנט	Edge Spacing
רווי	Saturated
רוחב	Width
רטט	Vibration
רטט פיצוץ	Blast Vibrations
ריווח	Spacing
ריטוש	Ripping
ריסון	Control<BR>Reduction<BR>Restrain
ריפ-רפ|ריף רף|ריף-רף|ריפ רפ	Rip Rap
ריקבון|רקבון	Decay
ריתוך|ריתוכים	Welding
ריתוך אוטומטי	Automatic Welding
ריתוך אוטומטי למחצה|ריתוכים אוטומטיים למחצה	Semi Automatic Welding
רכב חירום|רכבי חירום	Emergency Vehicle
רכבת ישראל	Israel Railways
רכבת קלה|רכבות קלות	Light Rail Transit - LRT<BR>Light Rail
רכיב	Element
רכיב לא מבני|אלמנט לא מבני|אלמנטים לא מבניים|רכיבים לא מבניים	Non Structural Element
רכיב מבני|אלמנט מבני|אלמנטים מבניים|רכיבים מבניים	Structural Component<BR>Structural Element
רמת המטען	Charge Level
רסיס|רסיסים	Fragment
רסיסי סלע|רסיס סלע	Rock Fragments
רעידת אדמה|רעידות אדמה	Earthquake
רצועת המסוע|רצועת מסוע	Conveyor Belt
רציני|רציניות|רציניים	Severe
רציפות|המשכיות	Continunity
רצפה|רצפות	Floor
רשימת ברזל|רשימות ברזל|רשימות זיון	Reinforcement Schedule
רשימת זיון|רשימות זיון	Reinforcement List
רשת|רשתות	Mesh
רשת גיאוטכנית|גאו גריד|גאוגריד|רשת גאוטכנית	Geogrid
רשת זיון|רשתות זיון	Reinforcement Mesh<BR>Mesh
רשת זיון קלה|רשת גביונים|רשת גדר|רשת קלה|רשתות גביונים|רשתות גדר|רשתות זיון קלות|רשתות קלות	Wire Mesh
רשת מרותכת|רשתות מרותכות	Welded Mesh
רתום	Fixed
רתיך|רתיכים	Weldable
רתך השקה	Butt Weld
רתך חריץ|רתכי חריץ	Slot Weld
רתך מילאת|מילאת	Fillet Weld
שבירת יתר	Overbreak
שבר|שברים	Fault<BR>Fracture
שבר מפיצוץ	Blasting Fracture
שוחת ביקורת|שוחה|שוחות|שוחות ביקורת	Manhole
שולט	Dominating
שולי בטיחות	Margin of Safety
שוליים	Edges
שוליים לדרך	Hard Strip
שומר מרחק|שומרי מרחק	Spacer
שומרי מרווח|שומר מרווח	Centralizers
שונה	Distinctive
שחוק|שחוקים	Weathered
שחוק במקצת|בלוי במקצת|בלוי מעט|שחוק מעט	Slightly Weathered
שחיקה	Abrasion
שטח חתך|שטח החתך	Cross Section Area
שיורי	Residual
שיטה|שיטות	Method<BR>System
שיטות בדיקה|שיטת בדיקה	Test Methods
שיטות דגימה|שיטת דגימה	Sampling Methods
שיטות להערכה|שיטה להערכה|שיטות לקבלת אומדן|שיטת הערכה	Estimation Methods
שיטת אלמנטים סופיים|אלמנטים סופיים|שיטת האלמנטים הסופיים	Finite Elements Method - FEM
שיטת הביצוע|שיטות הביצוע	Method Statement
שיטת המנהור האוסטרית החדשה|שיטת המינהור האוסטרית החדשה	New Austrian Tunneling Method - NATM
שיטת המנהור הנורבגית|שיטת המינהור הנורבגית	Norwegian Tunneling Method - NTM
שיטת חפירה בשלבים	Sequential Excavation Method - SEM
שיטת כרייה בשלבים	Sequential Excavation Method - SEM
שיטת תכנון ביצוע|תכנון ביצוע	Build and Design Method
שיכוב המאופיין בגליות|גליות	Wavy Bedding
שילוב עומסים|שילובי עומסים	Load Combination
שיסט|ציפחה	Schist
שיפוע	Slope
שיקום|לשקם	Repair
שירות	Service
שיש	Marble
שכבה|שכבות	Layer<BR>Stratum
שכבה עליונה|שכבות עליונות	Upper Layer
שכבות דקות|שיכוב דק	Bedded Planes
שכבת זיון|שכבות זיון	Layer of Reinforcement
שלא עבר קונסולידציה	Unconsolidated
שלבי הכרייה|שלבי החציבה|שלבי המינהור|שלבי המנהור|שלבי חציבה|שלבי כרייה|שלבי מינהור|שלבי מנהור	Excavation Stages
שלבי חישוב	Calculation Steps
שליפה	Pull Out
שעות עבודה נטו|זמן עבודה נטו	Running Time
שפה	Edge
שפוכת	Debris
שקול|שקולי|שקולים	Resultant
שקיל	Equivalent
שקיעה|שקיעות|תזוזת קרקע כלפי מטה	Settlement<BR>Settling
שרוול מעבר|שרוולי מעבר	Trumpet
שרוולי מגן|שרוול מגן	Debonding Sleeves
שרטוט|שרטוטים	Layout
שרטוט עקרוני|סקיצה עקרונית|סקיצות עקרוניות|שרטוטים עקרוניים	Principle Sketch
שרידות|הינצלות	Survivability
שרידי|שלא נוצל	Residual
שרף	Resin
תא מעלית	Cage
תאחוז|חלק	Percentage
תביעה	Claim
תבנית נעה|תבניות נעות	Moveable Form
תגובה	Response
תגובה אלסטית|תגובה בתחום האלסטי|תגובה בתחום האלסטי של החומר	Elastic Response
תהליך הבנייה|שיטת הבנייה	Construction Process
תהליך המילוי|שיטת המילוי	Filling Process
תוכנית עדות|כפי שבוצע|עדות	As Made Drawing
תולדות המקרה	Case History
תופעה הניתנת למעקב|תופעה בלתי רגילה|תופעה הנתנת למעקב	Phenomenon
תזוזה|תזוזות	Displacement
תזוזה מקסימלית|תזוזות מקסימליות	Total Displacement
תזוזת חלקיק|תזוזות חלקיק	Particle Displacement
תחום בטיחות|תחומי בטיחות	Safety Limit
תחזוקה|אחזקה	Mauntenance
תחנת ביניים|תחנת ג'קים משנית|תחנת דחיקה משנית|תחנת הביניים	Intermediate Jacking Station - IJS<BR>Interjack Station<BR>
תחנת דחיקה משנית|צינור הפלדה העוטף את תחנת הביניים|צינור הפלדה של תחנת הביניים	Intermediate Jacking Pipe
תיאום פעולות	Coordinates
תיאור	Description
תיבת קריאה|תיבות קריאה	Reading Box<BR>Readout Box
תיווי	Alignment
תיל רוטט	Vibrating Wire
תימוך|תימוכים	Support
תימוך הסלע|תימוך סלע	Rock Support
תימוך מקדים	Forepoling
תימוך סופי	Final Lining<BR>Final Support
תימוך ראשוני	Preliminary Support<BR>Primary Support
תימוך שניוני|תימוך נוסף	Secondary Lining
תיקון|לתקן|תיקונים	Repair
תכולת המים	Content of Water
תכולת הצמנט|תכולת המלט	Contenet of Cement
תכונה|סגולה	Attribute
תכונות מכניות	Mechanical Properties
תכונות מכניות עלובות	Poor Mechanical Properties
תכן	Design
תכן חיבורים פרקיים|תכן בחיבורים פרקיים|תכן פשוט	Simple Design
תכן חיבורים קשיחים|תכן בחיבורים קשיחים	Rigid Design
תכן חיבורים קשיחים למחצה|תכן בחיבורים קשיחים למחצה	Semi Rigid Design
תכן לגזירה|תכן גזירה	Shear Design
תכן מבנים	Structural Design
תכנון|תיכנון	Design
תכנון חלופי	Alternative Design
תכנון לביצוע	Execution Planning
תכנון מפורט	Detailed Design
תכנון ראשוני	Preliminary Design
תכנון שמרני|תכנון זהיר	Conservative Design
תכנון תוך כדי ביצוע	Observational Method of Design<BR>Design as you go
תכניות הנדסיות|תוכניות הנדסיות|תוכנית הנדסית|תכנית הנדסית	Design Drawings
תכניות הקמה|תוכניות הקמה|תוכנית הקמה|תכנית הקמה	Erection Drawings
תכניות ייצור מפורטות|תוכניות ייצור מפורטות|תוכניות יצור מפורטות|תכניות יצור מפורטות	Detailed Shop Drawings
תכניות למכרז|תכניות מכרז|תכנית למכרז|תכנית מכרז	Tender Drawings
תכנית|תוכניות|תוכנית|תכניות	Drawing<BR>Layout<BR>System
תכנית מימון|תוכניות מימון|תוכנית מימון|תכניות מימון	Financing Plan
תלת ממדי|שלושה ממדים|תלת ממד	Three Dimensional
תלת צירי	Triaxial
תמוך פרקי|תמוך פירקי	Simply Supported
תמיכה|תמיכות	Support
תמיכות פלדה|תמיכת פלדה	Steel Ribs
תמיר|תמירים	Slender
תמירות|תמירויות	Slenderness
תנוחה|תכנית	Plan
תנועה יומית ממוצעת	Average Daily Traffic, ADT
תסבולת	Bearing
תסבולת במאמצי מגע	Bearing Capacity
תסבולת הקשר	Adherence Capacity
תעלה	Duct
תעלת שירות|תעלות שירות	Service Duct
תערובת בקרה	Control Mix
תערובת ניסיון|תערובות ניסיון	Trial Mixture
תפוקת התכן	Design Output
תפיחה	Swelling
תפקוד|תפקודים	Performance
תפקיד מפתח	Key Role
תפר	Joint
תפר בקרה|תפרי בקרה	Control Joint
תפר הפסקת יציקה|הפסקת יציקה|תפרי הפסקת יציקה	Construction Joint
תפר הפרדה|תפרי הפרדה	Isolation Joint
תפר התכווצות|תפרי התכווצות	Contraction Joint
תפר התפשטות|תפרי התפשטות	Expansion Joint
תפר יציקה	Casting Joint
תפרחת|תפרחות	Efflorescence
תצורה|קונפיגורציה	Configuration<BR>Formation
תצורת הסידוק	Crack Formation
תצפית|תצפיות	Observation
תקופת שירות	Service Life
תקן|תקנים	Standard
תקן ישראלי|ת"י	Israeli Standard<BR>SI
תקנות|תקנה	Regulations
תקנות בטיחות|תקנת בטיחות	Safety Regulation
תקציב|תקציבים	Budget
תקרה|תקרות	Ceiling
תקרה מצולבת|תקרות מצולבות	Two Way Slab
תקרה שטוחה|טבלה שטוחה	Flat Slab
תקרת המנהרה|גג|תקרה|תקרת מנהרה	Roof
תקרת ערוגות|תקרות ערוגות	Two Way Ribbed Slab
תקרת צלעות|תקרות צלעות	Ribbed Slab
תרשים מאמץ כנגד עיבור|תרשים מאמץ עיבור	Stress Strain Diagram<BR>Stress Strain Curve
תת קרקעי	Underground
