##name	Tunneling
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	English to Hebrew Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc. 
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2005/09/04, 07:42
##bgl_middleUpdated	2012/05/23, 14:57
##bgl_lastUpdated	2012/05/23, 14:57
Abrasion	דיוס מדורג יורד
Open Shield|Open Face Shield|Open Hand Shield	מגן פתוח, ראש כרייה פתוח בחזיתו ומתאים לעבודה בחומר יבש ויציב, חפירה במצב זה הנה בעבודת ידיים
Optional	אופציונלי
Outer Circular Cage	כלוב זיון חיצוני עגול, כלוב הזיון החיצוני בצינור עגול
Outer Reinforcement	זיון בסיב חיצוני, זיון בסיב הרכיב הפונה לכיוון חוץ המבנה
Over Cut|Over Break	כריית יתר
Overall Length	אורך כללי
Overbreak	שבירת יתר, סלע שנשבר באמצעי מכני או בפיצוץ מעבר לקו החציבה המתוכנן
Overburden	עומס השכבות העליונות מעל המנהרה
Overlap	חפייה
Overlapping	חופפים
Overturning	היפוך
Owner	בעלים, יזם
Packers|Packer	אטמים, שסתומים להזרקה
Paint|Paints	צבע
Painting	צביעה
Pantex Lattice Girders|Pantex|Pantex Lattice Girder	מסבכוני פלדה ליצירת קורות בבטון מותז
Parameter|Parameters	משתנה
Partial Safety Factors|Partial Safety Factor	מקדמי ביטחון חלקיים
Partical Velocity	מהירות חלקיק, מדד לרטט עקב פיצוץ או עבודת כלים הנדסיים
Particle Displacement|Particle Displacements	תזוזת חלקיק, פרמטר לבחינת תופעת הרטט בקרקע עקב פיצוץ, המאופיינת באנרגיה הנמסרת לסלע באורח ישיר ועוברת בו באמצעות גלים סייסמים
Parting	היפרדות, יכול לבוא כהיפרדות של שכבה או היפרדות של חומר מסוים בתוך שכבה
Partitions	מחיצות, קירות לא מבניים - שאינם תומכים
Passage|Passages	מעבר
Passive Earth Pressure|Kp	לחץ קרקע פסיבי
Pattern	דפוס, צורה, דוגמא, חלוקה קבועה, מערך קבוע
Pattern Bolting	ברגי סלע במערך קצוב
Paver|Pavers	מכונה לפיזור אספלט
Peak Particle Velocity|PPV	מהירות חלקיק, הגישה המקובלת בעולם להגדיר את רמת זעזוע הקרקע (רטט) האופיינית
Peat	כבול
Pebbles	חלוקים
Pedestrian Footway|Footway	מדרכה
Peer Review	חוות דעת שנייה, חוות דעת נוספת
Penstock|Penstocks	צינור המוביל מים בלחץ גבוה ממאגר לטורבינה
Percentage	תאחוז
Perched Water	מים שעונים
Percussion Drilling	ציוד לקידוח בהקשה
Perforation Pipe|Perforated Pipe|Perforated Pipes|Perforation Pipes	צינור פרפורציה, צינור שרשורי
Performance	תפקוד
Perimeter	היקף
Permanent Anchor|Permanent Anchors	עוגן קבוע, עוגן המתוכנן למשך תפקוד 24 חודשים ומעלה
Permanent Lining	דיפון קבוע
Permanent Loads|Permanent Load	עומסים קבועים, עומסים עצמיים של רכיבים מבניים ולא מבניים כגון רכיבי גמר (טיח, חול, ריצוף וכו'...)
Permeability	חדירות, כושר הקרקע להעביר מים
Permeability Coefficient	מקדם החדירות של הקרקע
Phenomenon|Phenomena	תופעה הניתנת למעקב, תופעה בלתי רגילה
Phreatic Water	מים פריאטיים. <BR>גוש מים שמרווים סלע חדיר מעל לשכבה אטימה
Pier|Piers	נציב לגשר
Pigment|Pigments	פיגמנט, צבען
Piles|Pile	כלונסאות
Pillar|Pillars	עמוד סלע
Pilot	חלוץ, מנהרת חלוץ
Pilot Hole|Pilot Holes	קידוח חלוץ
Pine	עץ אורן
Pipe Clamping System|Pipe Clamping|Pipe Clamping Systems	מערכת מלחציים שמעוגנת לקיר החזית בפיר הדחיקה ומולבשת על צינורות מיקרו-מינהור. המלחציים מונעים מהצינורות לסגת אחורה בזמן התקדמות ראש הקידוח
Pipe Diameter	קוטר צינור
Pipe Jacking	דחיקת צינורות.<BR>החדרת צינורות מבטון או מפלדה לתוך קרקע, תוך ביצוע חפירה מוגבלת בחזית ודחיקה (דחיפה) של הצינורות קדימה לתוך הקטע החפור. לאחר מספר התקדמויות ניתן להוסיף צינור נוסף
Pipe Umbrella|Pipes Umbrella	מטריית צינורות לתימוך מקדים - Forepoling.<BR>צינורות פלדה המוחדרים (נקדחים) לקרקע מעל לקשת המנהרה בזוית קלה מעל האופק, ומהווים למעשה קירוי זמני עד לביצוע תימוך נוסף כדוגמת בטון מותז או פרופילי פלדה. באופן זמני מגשרים הצינורות על האזור שאינו תמוך תוך השענות על הקרקע שעדיין לא נחפרה מחד, ועל התימוך הנוסף מאידך
Pipeline	קו צינורות
Pitch	פסיעה
Plain Bar	מוט זיון חלק
Plan	תכנית, תנוחה
Planar	מישורי
Planarity	מישוריות, מונח גאולוגי לתיאור עקמומיות מישור בעלת אורך גל גדול מאד
Plane Frame	מסגרת מישורית
Plaster of Paris	גבס
Plastic Hinge	מפרק פלסטי, פרק פלסטי
Plastic Limit	גבול הפלסטיות
Plasticity Index	אינדקס הפלסטיות, מדד הפלסטיות
Plate	לוח, טבלה
Plate Bearing Test	מבחן תסבולת קצה, בשיטה זו נמסר עומס למשטח ישר של הסלע ונמדדת הדפורמציה על פני השטח
Pneumatic Power Tools|Pneumatic Power Tool	כלי עבודה על בסיס אוויר דחוס
Poisson's Ratio|Poisson|Poisson Ratio|ni	מקדם פואסון
Poling Plates	פלטות תימוך מקדים.<BR>מיועדות למנוע מפולות בקרקע שפיך. ניתן להרכיבן על המגן Shield במכונות מנהור בחתך מלא
Polypropylene Fibers	סיבי פוליפרופילן (זיון חלופי או נוסף בבטון, בעיקר בבטון מותז)
Poor Mechanical Properties	תכונות מכניות עלובות
Poor Quality|"Poor Quality"|"Poor"|"Poor" Quality	איכות גרועה, מאפיין למיון איכות הסלע
Poorly Backpacked	מלוי גרוע בין התימוך לסלע
Pop Outs|Pop Out|Pop-Out|Pop-Outs	נתזים, חלקיקי בטון קוניים שנשברים מפני הבטון ומשאירים חורים קטנים. בדרך כלל בתחתית החור יהיה אגרגט מנותץ שחלקו השני ימצא דבוק לקצה הצר של הנתז הקוני
Popping	תופעת שבירת סלע שמאופיינת ברסיסים שנזרקים אחרי הכריה באופן פתאומי. התופעה יכולה להתרחש בסלע קשה ובמצב של דפורמציה אלסטית חזקה ותחת לחץ טקטוני אופקי פעיל
Portal	פורטל, חזית הכניסה למנהרה
Portal Treatment	טיפול בפורטל, משמש בדרך כלל לתאור התימוך באזור כניסת המנהרה
Positive Projecting Conduit	צינור הנטמן בקרקע סוללה כך שהראש שלו ממוקם מעל למפלס הטבעי של הקרקע
Post Grouting	דיוס בשלב מאוחר
Posttensioning	דריכת-אחר, דריכה המתבצעת לאחר מיקום האלמנט באתר
Power Curve Criterion	קריטריון המציג את הקשר בין גזירה ומאמצים נורמליים עבור מעטפות הרס לא לינאריות
Power Shovel	מחפר, מחפר-כוח.<BR>מחפר עם כף הפונה הרחק מהכלי
Power Tools	כלי עבודה ממונעים
Practice	פרקטיקה, ניסיון מעשי
Pre Drilling|Pre-Drilling	קידוח מוקדם
Pre Grouting|Pre-Grouting	דיוס מקדים
Pre Splitting|Pre-Splitting	סידוק מוקדם, סוג של פיצוץ מבוקר
Pre Stressed|Pre-Stressed	דרוך
Precast	אלמנט טרום
Precast Concrete|Precast	בטון טרום
Precast Concrete Segment|Precast Concrete Segments|Segment|Segments	אלמנט מבטון טרום, מקטע בצורת לוח מבטון טרום המשמש לדיפון מנהרה או כדיפון בקצה מערך של אדמה משוריינת
Predominant	בולט, שולט
Preliminary	מקדמי<BR>מוקדם
Preliminary Design	תכנון ראשוני
Preliminary Support	תימוך ראשוני, תימוך 'מיידי' במנהרות כדוגמת בטון מותז, ברגי סלע, קשתות פלדה וכו'...
Premature Cracking	סידוק הנגרם ביציקה או מיד אחריה
Presentation|Presentations	מצגת
Pressure|Pressures	לחץ
Pressure Gauge|Pressure Gauges	מד לחץ
Pressure Tunnel	מנהרה בלחץ, מנהרה שעובר בה נוזל (או גז) בלחץ ומטריח את דיפון המנהרה
Prestressed Concrete	בטון דרוך
Pretensioning	דריכת-קדם
Primary Support	תימוך ראשוני
Principal	עיקרי, ראשי
Principal Stress|Principal Stresses	מאמץ ראשי, מאמץ בכיוון ראשי
Principle Sketch	שרטוט עקרוני, סקיצה עקרונית
Progressive Collapse	התמוטטות בשרשרת
Project Management	ניהול פרויקט
Proof Load|Proof Loads	כוח הדריכה המרבי
Properties	מאפיינים
Protective Structure|Protective Structures	מבנה מגן
Pull Out|Pullout	שליפה
Pull Out Test|Pull Out Tests|Pullout Tests	בדיקת שליפה לברגי סלע
Pull Test|Pull Tests	בדיקת שליפה (מתיחה)
Pumped Storage	אגירה שאובה.<br>העלאת מים לגובה בזמן צריכת שפל של חשמל, וניצול אנרגית המים תוך שחרורם במורד לצורך הפקת חשמל בזמן צריכת שיא של חשמל
Pumping Rate|Pumping Rates	קצב שאיבה
Punching	חדירה
Q	פרמטר המוגדר ע"י שישה מספרים המבטאים תאור מילולי של מסת הסלע (Barton)
Q System	שיטת ברטון לאיפיון מסת הסלע
Quality	איכות, איכותי, מאפיין
Quality Assurance|QA	אבטחת איכות
Quality Control|QC	בקרת איכות
Quality Management	ניהול איכות
Quantity|Quantities	כמות
Quarry	מחצבה
RMR	מקדם שיטת המיון של Bieniawski
RQD - Rock Quality Designation|RQD|Rock Quality Designation	דירוג איכות הסלע על פי דיר 1963 (Deere)
Radius of Gyration	רדיוס ההתמד, רדיוס האינרציה, שורש ריבועי של המנה בין מומנט האינרציה לשטח החתך
Radon	גז הראדון, גז רעיל
Raise Boring|Raise Climbing	פיר מטפס.<BR>כריית פיר בשיטה בה מבצעים הפיר מתחתיתו לפני הקרקע. פינוי החפורת מבוצע לתוך מנהרה בתחתית הפיר
Raise Drill	מקדח מטפס, מקדח מתרומם משמש לביצוע פירים
Rate	קצב, שיעור
Raveling Ground	קרקע מתפוררת, חלקיקי קרקע הנופלים מתקרת המנהרה או מקירותיה זמן מה לאחר חשיפתה בעת הכרייה, התנהגות הקרקע מיד לאחר סיום זמן העמידה העצמי
Re Bar|Re-Bar	מוט (בורג)
Reaction Wall|Reaction Walls	קיר תגובה, אלמנט המיועד לשאת את מלוא כוחות הדחיקה והעברתם לקרקע
Reading Box	תיבת קריאה
Readout Box	תיבת קריאה
Rebound	נפולת התזה, אגרגאטים וצמנט או בטון מותז רטוב הניתזים מהמשטח
Recovery	השבה, התאוששות
Reduction	ריסון
Redundant	עודף, חלופי, מערכת נוספת המכפילה את המערכת הנדרשת ומשמשת כחלופה במקרה של כשל
Reference|References	סימוכין, הערה, אזכור, מראה מקום
Refinery|Refineries	בית זיקוק
Regime	משטר
Regulations|Regulation	תקנות
Reinforced Concrete	בטון מזויין
Reinforced Shotcrete	בטון מותז מזויין. בטון מותז עם רשת/מוטות פלדה או עם סיבי פלדה/פוליפרופילן
Reinforced Soil	קרקע משוריינת
Reinforcement	זיון, זיון הבטון
Reinforcement List|Reinforcement Lists	רשימת זיון
Reinforcement Mesh|Reinforcement Meshes	רשת זיון
Reinforcement Ratio	מנת זיון
Reinforcement Schedule|Reinforcement Schedules	רשימת ברזל
Reinforcement System|Reinforcement Systems	מערכת הזיון
Reinforcing	זיון
Reinforcing Member	אלמנט מחזק
Relaxation	הרפיה
Repair	שיקום, תיקון, לתקן
Report|Reports	דו"ח
Report Structure	מבנה הדו"ח
Rescue Tunnel|Rescue Tunnels	מנהרת מילוט
Residual	שיורי, שרידי, שלא נוצל
Residual Clay	חרסית הנוצרת עקב התפרקות הסלע באזור בלייה. בדרך כלל חרסית זו יושבת על גבי סלע המקור
Residual Sand	חומר חולי הנוצר עקב התפוררות הסלע באזור בלייה. בדרך כלל חול זו יושב על גבי סלע המקור
Residual Shear	גזירה שיורית
Resin	שרף
Responding	תגובה
Response	תגובה
Restrain	ריסון, סמך
Restraint|Restraints	ריסון, סמך
Resultant	שקול
Resulting	נובע, מסתיים
Retaining Wall|Retaining Walls	קיר תמך
Retarded Mortar	מלט מעוכב
Retarder	מעכב התקשרות
Rib Ratio|RR	מנת התימוך
Ribbed Bar|Deformed Bar	מוט מצולע
Ribbed Slab	תקרת צלעות
Rigid	קשיח
Rigid Design	תכן בחיבורים קשיחים
Ring Bit	טבעת קידוח.<br>\nמשמשת לקידוח בשיטת  קידוח עם מעטפת המגנה על חור הקידוח
Rip Rap|Rip-Rap	ריפ-רפ, אבנים מחוספסות בגדלים שונים מונחות באופן לא סדיר על הקרקע למניעת גריפה על ידי מים
Ripping	ריטוש.<BR>מונח המתאר את כושר הריטוש של ציוד מכני
Risk Analysis	ניתוח סיכונים
Risk Assessment	הערכת סיכונים
Risk Sharing	חלוקת נטל הסיכון
Road Header|Road Headers	מכונת מנהור בשיטת הכרסום או החיתוך.<BR>המכונה מבצעת את תהליך המנהור בחתך חלקי (גזרה צרה)
Rock|Rocks	סלע, מסלע, קרקע קשה
Rock Anchor|Rock Anchors	עוגן סלע, אלמנט לחיזוק הסלע או להעברת כוחות אליו. האלמנט עשוי להיות ממיתרים, גדילים או מוטות, דרוך ומעוגן בשיטות שונות. בורג סלע מהווה אחד המקרים הפרטיים של עוגן סלע
Rock Bolt|Bolt|Bolts|Rock Bolts	בורג סלע, מוט לחיזוק הסלע.<BR>המוט הרגיל עשוי מפלדה, אולם קיימים ברגי סלע מחומר פלסטי או עץ למטרות מיוחדות. המוט עשוי להיות דרוך או בלתי דרוך, מעוגן חלקית בקצהו, או מעוגן לכל אורכו, בשיטות עיגון שונות (עיגון מכני, דייס, שרף וכו'...)
Rock Bolter|Rock Bolters	מקדח להתקנת ברגי סלע
Rock Engineering	הנדסת סלע
Rock Fall Protection|Rock Fall Protections	הגנה מפני נפילות גושי סלע
Rock Falls|Rock Fall	נפילות חלקי סלע
Rock Fragments|Rock Fragment	רסיסי סלע, שברי סלע
Rock Jumbo	מכונת קידוח
Rock Mass	מסת הסלע
Rock Mass Compressive Strength	חוזק מסת הסלע בלחיצה
Rock Mass Properties|Mass Properties|Mass Property|Rock Mass Property	מאפייני מסת הסלע, מאפיינים 'אמיתיים' של הסלע
Rock Mass Strength	חוזק מסת הסלע
Rock Mass Tensile Strength	חוזק מסת הסלע במתיחה
Rock Mechanics	מכניקת סלע, חקר התכונות הפיזיקליות של המסלע
Rock Quality|Rock Qualities	איכות הסלע
Rock Reinforcement	הצבת אלמנטי פלדה לא דרוכים, כגון ברגי סלע, לצורך תגבור וגיוס היכולת העצמית של הסלע לתמוך את עצמו
Rock Strength	חוזק הסלע
Rock Structure	מבנה הסלע. בעיקר הכוונה לסידוק, שיכוב והרכב
Rock Structure Rating|RSR	דירוג מבנה הסלע
Rock Support	אלמנט תומך מבטון יצוק, בטון מותז, פלדה או עץ כנגד תזוזות של הסלע פנימה לאזור הכרייה
Rock Tunnel|Rock Tunnels	מנהרה העוברת דרך סלע
Rock Tunneling|Rock Tunnelling	מנהור בסלע
Rock Wedge|Rock Wedges|Wedge|Wedges	טריז, יתד, קטע סלע משולשי הנוצר עקב הצטלבות מספר מערכות סדקים ועלול ליפול לתוך הקטע הכרוי
Rockbolt Pattern|Rockbolt Patterns	מערך ברגי סלע
Rockburst|Rock Burst	פרץ סלע, שחרור פתאומי של מאמצים בסלע המתבטא ע"י הינתקות פתאומית של גוש סלע ממסת הסלע
Rod	מוט, מוט זיון
Rod Diameter	קוטר מוט, קוטר מוט זיון
Roller|Rollers	מכבש
Rolling Resistance	התנגדות לגלגול. בכלים אופניים קיימת התנגדות לגלגול הנובעת מחכוך פנימי במייסבים, עוות בצמיג עקב גמישותו ושקיעת הצמיג לתוך הקרקע
Roof|Roofs	תקרה, תקרת המנהרה, החלק העליון בחלל תת-קרקעי
Roof Bolt|Roof Bolts	ברגי סלע
Room and Pillar|Room & Pillar	חדר ועמוד, שיטת כרייה במכרות בה כורים חדרים לצורך איסוף המחצבים ומשאירים עמודי סלע שנושאים את החלל הכרוי
Rotary Core Drills|Rotary Core Drill	ציוד לקידוח גלעין סיבובי
Rotary Drilling	קדיחה סיבובית
Rotary Percussion	קדיחה בסיבוב והקשה
Rough	קשה, מחוספס, טיוטה
Roughness	חספוס, מידת החספוס בפני השטח של מישור האי-רציפות
Running Ground	קרקע נשפכת, חומר גרנולרי חסר קוהזיה שהינו חסר יציבות בשפוע הגדול מזוית השפיכה הטבעית, או במילים אחרות קרקע עם זמן עמידה עצמית השווה לאפס
Running Time	שעות עבודה נטו
Runway	מסלול המראה
SBU - Small Boring Unit|SBU|Small Boring Unit|Small Boring Units	מכונת מנהור בחתך מלא אך בקוטר קטן
SRF - Stress Reduction Factor|SRF|Stress Reduction Factor	מקדם הפחתה עקב מאמצים באיזורי שבר או חולשה החוצים את הכריה, אחד הפרמטרים בשיטת המיון של ברטון
Safety	בטיחות, זהירות
Safety Factor|SF|Safety Factors	מקדם ביטחון
Safety Limit	תחום בטיחות
Safety Manual|Safety Manuals	מדריך בטיחות, ספר הוראות בטיחות
Safety Procedures|Safety Procedure	נוהלי בטיחות
Safety Regulation	תקנות בטיחות
Safety Walkway|Safety Walkways	מעבר חירום להולכי רגל, נתיב בטוח להולכי רגל
Sampling Methods	שיטות דגימה
Sand	חול
Sandstone	אבן חול
Sandy Clay	חרסית חולית
Saturated	רווי
Scaffolding	פיגום
Scale	קנה מידה (קנ"מ), סקאלה
Scaling	ניקוי תקרת המנהרה משברי סלע רופפים;<BR>התדרדרות פני הבטון - המשך תהליך אובדן המלט והאגרגטים מפני הבטון
Scan Line	קו סריקה, קו באורך עד 30 מטר שלאורכו תימדד צפיפות סידוק
Schist	שיסט, ציפחה
Screen|Screens	נפה.<BR>מיועדת לניפוי אבן גרוסה בתהליך למיון האגרגט לדירוגים שונים
Scrubbers|Scrubber	מסננים מיוחדים המורכבים על כלי רכב יעודיים במנהרה
Sealing	איטום
Secant Piles|Secant|Secant Pile	כלונסאות המבוצעים כך שכלונס חותך בחלקו את הכלונס הסמוך לו
Second Opinion	חוות דעת שנייה, חוות דעת נוספת
Secondary	משני
Secondary Lining	תימוך שניוני, תימוך נוסף המבוצע לאחר השלמת התימוך הראשוני
Section|Sections	חתך, חלק
Section Modulus	מודול החתך
Section Properties	מאפייני החתך
Sedimentary Rock|Sedimentary	סלע משקע
Seepage	חלחול, תנועת המים בקרקע
Self Drilling	קידוח עצמי (בורג בעל ראש קודח עצמי)
Self Weight	משקל עצמי
Self Weight Load	עומס הנובע ממשקל עצמי של רכיב
Semi Automatic Welding	ריתוך אוטומטי למחצה
Semi Compact|Semi-Compact	קומפקטי למחצה
Semi Rigid Design	תכן בחיבורים קשיחים למחצה
Semi-Trailer|Semi Trailer|Semitrailer	גרור נתמך, סמי-טריילר
Sequential Excavation Method - SEM|SEM|Sequential Excavation Method	שיטת חפירה/כרייה בשלבים
Service Duct	תעלת שירות
Service Life	תקופת שירות
Service Load|Service Loads	עומס בשירות
Serviceability Limit State|Limit State|Serviceability	מצב גבולי של שירות, מצב בו הדפורמציות בתקופת שירות המבנה גדולות מהערך הגבולי הצפוי
Set-Up Time|Set Up Time	זמן הרכבה
Setting	התקשרות, מונח לתיאור התקשרות בבטון
Settlement	שקיעה, תזוזת קרקע כלפי מטה עקב עליה במאמצי הקרקע
Settlement Curve	עקומת שקיעות
Settling	שקיעה, תזוזת קרקע גרנולרית כלפי מטה הנובע משינוי בסידור חלקיקי הקרקע עקב כניסת מים
Severe	חמור, רציני
Shaft|Shafts	פיר
Shaft Boring	קידוח פיר
Shaft Drilling	קידוח פיר
Shaft Hoist	כננת לפיר
Shaft Sinking	פיר שוקע.<BR>ביצוע כריית הפיר בשיטה הקלאסית מפני הקרקע לתחתיתו
Shales	פצלים, סלעים חרסיתיים משוכבים בשכבות דקות ומתפצלות
Shallow Cover	כיסוי רדוד
Shallow Cover Tunnel	מנהרה בכיסוי קרקע רדוד
Shallow Foundation|Shallow Foundations	יסוד השואב את יכולתו לתמוך את המבנה ע"י העברת העומסים ישירות לקרקע בעומק רדוד
Shape Factor|Shape Factors	מקדם צורה
Shapirim Tunnel	מנהרת שפירים.<br>מנהרה בקו הרכבת לנמל התעופה בן גוריון
Shear	גזירה
Shear Crack|Shear Cracks	סדק גזירה, סדק הנוצר עקב מאמצי גזירה
Shear Design	תכן לגזירה
Shear Failure	כשל עקב מאמצי גזירה
Shear Force|Shear Forces	כוח גזירה
Shear Modulus	מודול הגזירה
Shear Plane	מישור הגזירה
Shear Resistance	התנגדות לגזירה
Shear Strength	חוזק כנגד גזירה
Shear Stress|Shear Stresses	מאמץ גזירה
Shear Test	בדיקת גזירה
Shear Yield Stress	מאמץ כניעה בגזירה
Shear Zone|Shear Zones	אזור גזירה, אזור מרוסק בסמיכות להעתקים גדולים, אי רציפות בסלע
Shearing Resistance	התנגדות לגזירה
Shearing Strength	חוזק לגזירה
Sheet|Sheets	גיליון, יריעה, לוח
Sheet Pile|Sheet Piles	כלונס מלבני, קיר סלארי
Shield	אלמנט מגן שממוקם בראש הכרייה המהווה תימוך מיידי עד לביצוע או דחיקת התימוך הסופי
Short Delay Detonators|Short Delay Detonator	נפצים עם השהיות קצרות
Shotcrete|Air Blown Concrete|Beton Projete|Gunite|Gunned Concrete|Pneumatically Applied Concrete|Spraycrete|Sprayed Concrete|Spritzbeton|Torcrete	בטון מותז (גס-גרגר), מלט או בטון המובל דרך צינורות ומותז בלחץ גבוה ובמהירות גבוהה בעזרת אוויר דחוס על פני המשטח שעומדים לצפותו
Shotcrete Lining	דיפון בטון מותז
Shotcreting	תהליך התזת בטון
Shrinkage	הצטמקות
Shrinkage Crack|Shrinkage Cracks	סדק עקב הצטמקות
Shrinkage Limit	גבול הצטמקות
Significant	משמעותי, ניכר, חשוב
Silica Fume	מיקרו סיליקה, מוסף להגדלת צפיפות תערובת הבטון ושיפור ההדבקות לסלע
Silo	ממגורה
Silt	טין
Silth Sand	חול טיני
Simple Design	תכן בחיבורים פרקיים
Simple Support	סמך פרקי
Simply Supported	תמוך פרקית
Single Sized Aggregate	אגרגט חד-גרגרי
Site Investigation|Site Investigations	ניסוי באתר, בדיקה באתר
Skilled Worker|Skilled Workers	עובד מיומן
Slab|Slabs	טבלה, לוח, פלטה
Slaking	התקלפות, התפוררות קרקע עקב חשיפה לאוויר או ללחות
Slender	תמיר
Slenderness	תמירות
Slenderness Ratio	יחס התמירות
Slickenside	סימני החלקה, חריצים מאורכים שניתן לזהותם על מישור בסלע ומקורם בתזוזות גזירה
Slickensided|Slickensides	מישור החלקה.<BR>פני הסלעים שנחרטו והוברקו, כאשר גושי הסלע זזו אחד כלפי השני
Sliding	החלקה
Slightly Weathered	בלוי במקצת, שחוק מעט
Slope|Sloped|Slopes	שיפוע, מדרון
Slot Weld	רתך חריץ
Slow Raveling|Slow-Raveling	קרקע שזמן העמידה העצמי שלה קצר, אך גדול משש שעות
Slurry Machine|Slurry Machines	מכונת סלארי, מכונת מנהור בחתך מלא המתאימה בעיקר לקרקעות רכות. החומר הנחפר מתערבב עם נוזל ומשמש לייצוב זמני של חזית המנהרה על בסיס לחץ מאזן ללחץ הקרקע הנוטה לנוע לתוך חזית הכרייה. בנוסף החומר הנחפר מועבר לפני הקרקע כסלארי שם הוא מסונן
Slurry Wall|Slurry Walls	קיר סלארי
Smooth Blasting	פיצוץ המספק פני סלע חלקים
Smooth Wall|Smooth Wall Blasting	פיצוץ חלק, סוג של פיצוץ מבוקר
Smooth Wall Blasting	פיצוץ חלק
Smoothness	חלקות, מונח המתאר את מידת החלקות בין דופן צינור הדחיקה לקרקע
Soft Clay	חרסית רכה
Soft Ground	קרקע רכה כדוגמת חרסית, חול וכו'...
Soft Ground Tunnel|Soft Ground Tunnels	מנהרה העוברת דרך קרקע רכה
Soft Ground Tunneling	מנהור בקרקע רך
Soil|Soils	קרקע, שם כלל לקרקע רכה (חול, חרסית...) וסלע (אבן גיר, קירטון, דולומיט...)
Soil Classification	מיון קרקעות
Soil Mechanics	מכניקת קרקע, חקר התכונות הפיזיקליות של הקרקע והתועלת שניתן להפיק מהקרקע
Soil Nail|Soil Nails	מסמר קרקע. מוט העשוי בדרך כלל מפלדה המוחדר לקרקע רכה (חול, חרסית וכו'...) לצורך ייצובה
Soil Nail Wall|Soil Nail Walls	קיר התמוך על בסיס מסמרי קרקע
Soil Stiffness Factor	מקדם קשיחות הקרקע
Soldier Pile|Soldier Piles	כלונס (בנוי ללא קשר עם כלונס שכן)
Solid	מקשי
Solid Formation|Solid Formations	סלע איתן
Solid Superstructure	מיסעה קשיחה
Solution Cavity	חלל המסה, חלל טבעי שנוצר מהמסת הסלע כגון קארסט, החלל עשוי להיות ריק או מלא בחומרי מילוי שנשטפו אליו
Soundness	איתנות, מונח לתיאור איתנות בבטון
Space Frame	מסגרת מרחבית, שלד תלת-ממדי
Spacers|Spacer	שומרי מרחק
Spacing	ריווח, מרחקים בין אלמנטים
Spacing of Piles	מרווח בין כלונסאות
Spacing of Reinforcement Bars	מרווח בין מוטות הזיון, מעיד על צפיפות הזיון בבטון
Spacing of Stirrups	מרווח בין חישוקי הגזירה
Spalling	קילוף בטון, הקילוף מתרחש בצורת גומה מעוגלת ונוצר עקב היפרדות והסרה של חלק מפני הבטון תוך חשיפת שבר מקורב למקביל או קצת מוטה מפני הבטון. בדרך כלל חלק משפת הגומה אנכית לפני הבטון, וכן חלק מברזלי הזיון נחשפים
Span	מפתח, האורך הכללי בין שני סמכים
Span Fixed at Both Ends	דו-רתום
Specifications	מפרט
Specified	מוכתב
Specified Load	עומס נתון
Spliced	לחבר, לאחות
Split Set|Split Sets	בורג משוסע, משמש כאשר נדרש תימוך מיידי זמני
Splits	התפצלויות, מוגדרות כסידוק שנמשך בתוך רכיב העץ עד חצייה מלאה של הרכיב
Splitting Test|Splitting Tests	ניסוי בקיעה
Spot Bolting	ברגי סלע אקרעיים
Spring|Springs	קפיץ
Spring Line	קו הקשת, החיבור בין הקמרון לקירות האנכיים
Squeeze|Squeezing	זחילה.<BR>תופעה במנהור בה תפיחה גורמת לתנועה אטית לכיוון החזית והקירות
Squeezing Ground	קרקע זוחלת, קרקע בעלת תכונות של גלישה ותפיחה, במנהרה הקרקע זוחלת לאיטה באורח פלסטי לתוך החלל החצוב ללא שבירה או סידוק נראים לעין וללא נתק ברציפות
Squeezing Rock	סלע זוחל, זרימה פלסטית של סלע לא יציב
Stability	יציבות
Stability Analysis|Stability Analyses	אנליזת יציבות
Stabilize|Stabilized	לייצב, מיוצב
Staining	הכתמה, צביעת הבטון עקב התאדות של חומרים מסיסים במים העוברים דרך הסדקים לפני הבטון. הכתמים יכולים להופיע בצבעים רבים אך צבע חום יכול להעיד על קורוזיה בזיון הבטון
Stand up Time|Stand-up Time|The Bridge Action Period	זמן העמידה העצמית, הוצג לראשונה על ידי טרצגי (Terzaghi), משך פעולת הגישור שהינו משך הזמן בו מסוגלת הקרקע לגשר בכוחות עצמה ללא סיוע מתימוך מלאכותי
Standard	תקן
Standard Penetration Test|SPT	מספר מכות לחדירה. מקדם למיון קרקעות בשדה
Standard Specifications	המפרט הכללי, בישראל נכתב ע"י הוועדה הבין-משרדית לסטנדרטיזציה של מסמכי החוזה לבנייה ומחשובם בהשתתפות: משרד הביטחון, משרד הבינוי והשיכון, משרד האוצר ומשרד התחבורה
Static Forces|Static Force	כוחות סטטיים
Static Loading	עמיסה סטטית
Steam Curing	אשפרה בקיטור
